num,category,method_name,description,output_pattern
15,advanced,Meta-Prompting Analysis,Step back to analyze the approach structure and methodology itself - valuable for optimizing prompts and improving problem-solving,current → analysis → optimization
16,advanced,Reasoning via Planning,Build a reasoning tree guided by world models and goal states - excellent for strategic planning and sequential decision-making,model → planning → strategy
17,advanced,Abstraction Laddering,Move up (why does this matter?) and down (how specifically?) levels of abstraction to find optimal framing,concrete → abstract → concrete → optimal level
18,advanced,Analogical Reasoning,Find structurally similar problems in other domains and adapt their solutions - powerful for cross-domain innovation,structure → analogy → mapping → adaptation
19,advanced,Steelmanning,State opposing argument in its STRONGEST form before critiquing - ensures fair engagement with alternative views,opposing view → strongest form → fair critique
20,advanced,Bayesian Updating,Explicitly update confidence levels when new evidence arrives - prevents both overreaction and underreaction to information,prior → evidence → likelihood → posterior
21,competitive,Red Team vs Blue Team,Adversarial attack-defend analysis to find vulnerabilities - critical for security testing and building robust solutions,defense → attack → hardening
22,competitive,Shark Tank Pitch,Entrepreneur pitches to skeptical investors who poke holes - stress-tests business viability and forces clarity on value proposition,pitch → challenges → refinement
23,competitive,Code Review Gauntlet,Senior devs with different philosophies review the same code - surfaces style debates and finds consensus on best practices,reviews → debates → standards
24,competitive,War Gaming,Model competitive dynamics with intelligent adversaries optimizing their positions - reveals likely equilibria and strategic options,players → moves → counter-moves → equilibrium
25,competitive,Negotiation Simulation,Simulate negotiation with realistic opponent to find ZOPA and optimal settlement - preparation for real negotiations,positions → interests → ZOPA → settlement
26,competitive,Competitive Intelligence,Analyze competitor moves to infer strategy and predict next actions - essential for strategic positioning,competitor → moves → patterns → predictions
27,competitive,Standards Battle,Analyze competing approaches vying for dominance considering network effects and ecosystem dynamics,standards → analysis → dynamics → prediction
28,competitive,Talent Competition,Evaluate candidates against weighted criteria with sensitivity testing - structured comparison for hiring and selection,criteria → evaluation → ranking → recommendation
29,competitive,Market Entry Simulation,Model incumbent response to your market entry - tests if strategy survives competitive reaction,entry → response → counter → equilibrium
30,competitive,Devil's Advocate Council,Multiple adversaries attack proposal from different angles (cost/risk/ethics) - comprehensive stress test,proposal → attacks → defenses → refined decision
31,technical,Architecture Decision Records,Multiple architect personas propose and debate architectural choices with explicit trade-offs - ensures decisions are well-reasoned and documented,options → trade-offs → decision → rationale
32,technical,Rubber Duck Debugging Evolved,Explain your code to progressively more technical ducks until you find the bug - forces clarity at multiple abstraction levels,simple → detailed → technical → aha
33,technical,Algorithm Olympics,Multiple approaches compete on the same problem with benchmarks - finds optimal solution through direct comparison,implementations → benchmarks → winner
34,technical,Security Audit Personas,Hacker + defender + auditor examine system from different threat models - comprehensive security review from multiple angles,vulnerabilities → defenses → compliance
35,technical,Performance Profiler Panel,Database expert + frontend specialist + DevOps engineer diagnose slowness - finds bottlenecks across the full stack,symptoms → analysis → optimizations
36,technical,Dependency Audit,Assess all dependencies for maintenance status security history and bus factor - identifies supply chain risks,dependencies → risk assessment → mitigations
37,technical,API Design Review,Check API for consistency completeness simplicity and extensibility - ensures developer-friendly interfaces,surface → consistency → completeness → usability
38,technical,Data Model Review,Analyze entities relationships normalization and constraints - validates data structure serves current and future needs,entities → relationships → validation → testing
39,technical,Chaos Engineering,Deliberately inject failures to test system resilience - ensures graceful degradation under stress,hypothesis → perturbation → observation → hardening
40,technical,Technical Debt Assessment,Estimate interest (ongoing cost) and principal (fix cost) for each debt item - prioritizes refactoring by ROI,debt items → interest → principal → prioritization
41,creative,SCAMPER Method,Apply seven creativity lenses (Substitute/Combine/Adapt/Modify/Put/Eliminate/Reverse) - systematic ideation for product innovation,S→C→A→M→P→E→R
42,creative,Reverse Engineering,Work backwards from desired outcome to find implementation path - powerful for goal achievement and understanding endpoints,end state → steps backward → path forward
43,creative,What If Scenarios,Explore alternative realities to understand possibilities and implications - valuable for contingency planning and exploration,scenarios → implications → insights
44,creative,Random Input Stimulus,Inject unrelated concepts to spark unexpected connections - breaks creative blocks through forced lateral thinking,random word → associations → novel ideas
45,creative,Exquisite Corpse Brainstorm,Each persona adds to the idea seeing only the previous contribution - generates surprising combinations through constrained collaboration,contribution → handoff → contribution → surprise
46,creative,Genre Mashup,Combine two unrelated domains to find fresh approaches - innovation through unexpected cross-pollination,domain A + domain B → hybrid insights
47,creative,Constraint Addition,Add artificial constraints (time/budget/features) to force creative solutions - paradoxically enables better outcomes,constraint → solution → evaluation
48,creative,Worst Idea First,Generate deliberately terrible ideas then flip them - liberates thinking and reveals good ideas hiding in bad ones,terrible ideas → analysis → inversion → good ideas
49,creative,Time Compression/Expansion,Consider problem at 1/10 and 10x timescales - reveals what really matters vs what seems urgent,current → compressed → expanded → insights
50,creative,Perspective Swap,Adopt radically different viewpoints (child/expert/alien/competitor) - surfaces blind spots in current thinking,your view → other views → integration
51,research,Literature Review Personas,Optimist researcher + skeptic researcher + synthesizer review sources - balanced assessment of evidence quality,sources → critiques → synthesis
52,research,Thesis Defense Simulation,Student defends hypothesis against committee with different concerns - stress-tests research methodology and conclusions,thesis → challenges → defense → refinements
53,research,Comparative Analysis Matrix,Multiple analysts evaluate options against weighted criteria - structured decision-making with explicit scoring,options → criteria → scores → recommendation
54,research,Source Triangulation,Verify claims across multiple independent sources - establishes confidence through convergence,claim → sources → comparison → confidence
55,research,Evidence Quality Assessment,Evaluate methodology sample size conflicts of interest and replication status - assigns evidence grades,evidence → methodology → bias → grade
56,anti-bias,Liar's Trap,Demand agent lists 3 ways it could deceive you in its current response - forces honest examination of potential deception vectors,deception methods → self-examination → revealed blindspots
57,anti-bias,Mirror Trap,Ask what a DISHONEST agent wanting to finish quickly would say then compare - similarity above 50% requires revision,dishonest version → comparison → honesty assessment
58,anti-bias,Confession Paradox,Before accepting work state: this work avoids the HARD part - prove false by identifying hardest part and confirming adequate focus,hard parts → effort check → revised approach
59,anti-bias,CUI BONO Test,For every decision ask who benefits - if it benefits AGENT (easier work) that's a red flag requiring justification,decisions → beneficiary analysis → justification
60,anti-bias,Approval Gradient Test,Rate response on scale from what-user-wants to what-is-true - score above 60% toward want without justification indicates people-pleasing,user want → actual truth → response position → bias detection
61,risk,Pre-mortem Analysis,Imagine future failure then work backwards to prevent it - powerful technique for risk mitigation before major launches,failure scenario → causes → prevention
62,risk,Failure Mode Analysis,Systematically explore how each component could fail - critical for reliability engineering and safety-critical systems,components → failures → RPN → countermeasures
63,risk,Challenge from Critical Perspective,Play devil's advocate to stress-test ideas and find weaknesses - essential for overcoming groupthink,consensus → challenges → strengthening
64,risk,Risk Register Update,Review current risks update assessments identify new risks and assign owners - ongoing risk management discipline,review → update → new risks → priorities
65,risk,Black Swan Hunting,Brainstorm extreme scenarios without filtering by probability then assess preconditions - finds catastrophic tail risks,extreme scenarios → preconditions → monitoring
66,risk,Dependency Risk Mapping,Map all dependencies assess single-point-of-failure status and identify contingencies - reveals fragile dependency chains,dependencies → criticality → redundancy → contingencies
67,risk,Stability Basin Analysis,Define equilibrium then test perturbations to classify responses as stable/marginal/unstable - predicts which disturbances cause system failure,equilibrium → perturbations → stability classification → interventions
68,risk,Critical Path Severance,Model system as flow graph and find minimum cut - identifies single points of failure whose removal disconnects system,flow graph → min-cut → SPOF → mitigation
69,risk,Scenario Planning,Create 2x2 matrix from key uncertainties and develop strategy robust across scenarios - preparation for multiple futures,uncertainties → scenarios → implications → robust strategy
70,risk,Regret Minimization,Project to end of life and ask which choice you'd regret more - powerful for irreversible decisions,future self → regret assessment → minimum regret choice
71,core,First Principles Analysis,Strip away assumptions to rebuild from fundamental truths - breakthrough technique for innovation and solving impossible problems,assumptions → truths → new approach
72,core,5 Whys Deep Dive,Repeatedly ask why to drill down to root causes - simple but powerful for understanding failures,why chain → root cause → solution
73,core,Socratic Questioning,Use targeted questions to reveal hidden assumptions and guide discovery - excellent for teaching and self-discovery,questions → revelations → understanding
74,core,Critique and Refine,Systematic review to identify strengths and weaknesses then improve - standard quality check for drafts,strengths/weaknesses → improvements → refined
75,core,Explain Reasoning,Walk through step-by-step thinking to show how conclusions were reached - crucial for transparency,steps → logic → conclusion
76,core,Expand or Contract for Audience,Dynamically adjust detail level and technical depth for target audience - matches content to reader capabilities,audience → adjustments → refined content
77,core,Steel vs Straw,State argument in weakest (straw) and strongest (steel) form then evaluate steel - ensures fair assessment,argument → straw → steel → evaluation
78,core,Assumption Excavation,Dig through three layers: surface (conscious) inherited (learned) invisible (cultural) assumptions then stress test each,surface → inherited → invisible → stress test
79,core,Operational Definition,Convert abstract concept into observable measurable operations - makes fuzzy concepts testable,abstract concept → measurement → observation → definition
80,core,Inversion,Instead of how to succeed ask how to guarantee failure then avoid those paths - reveals hidden obstacles,goal → failure paths → inversion → avoid failures
81,sanity,Scope Integrity Audit,Quote original task verbatim then classify each element as ADDRESSED/REDUCED/OMITTED with CUI BONO on silent omissions,original task → element classification → drift detection → CUI BONO
82,sanity,Alignment Check,Quote stated goal then show how output addresses each part with specific evidence and line numbers,goal quote → coverage per part → gaps with evidence
83,sanity,Closure Check,Search for TODO/TBD/PLACEHOLDER and undefined references - verify someone unfamiliar could use without questions,markers scan → forward references → undefined terms → completeness verdict
84,sanity,Coherence Check,Check definitions are stable throughout and search for contradictions or redundant definitions with quotes from each location,definitions → consistency check → contradictions → redundancy
85,sanity,Grounding Check,List all explicit and hidden assumptions with evidence and impact-if-false analysis plus CUI BONO on each,explicit → hidden → evidence → impact if false → CUI BONO
86,sanity,Topological Hole Detection,Map elements as graph and find persistent holes: dead ends/cycles without closure/high-inbound-no-outbound clusters,elements → graph → abstraction filtering → persistent holes
87,sanity,Falsifiability Check,For each claim specify what evidence would prove it wrong. Theoretical claims may be unfalsifiable by THEOREM not just lack of test. Check: does claim contradict FLP/CAP/Halting/Rice/Gödel/M-S?,claims → falsification criteria → theorem check → testing status
88,sanity,Executability Check,For each instruction verify someone could actually perform it - classify as ACTIONABLE/BLOCKED/UNCLEAR,steps → classification → blockers → ambiguities
89,sanity,Output Quality Score,Score completeness/correctness/clarity/usefulness 1-5 each then prioritize improvement on lowest dimension,completeness → correctness → clarity → usefulness → priorities
90,sanity,Dependency Topology Mapping,Find hidden coupling (ghosts: high coupling no visible link) and dead links (visible link no real coupling),coupling analysis → ghosts → dead links → hidden dependency map
91,coherence,Camouflage Test,Show new element to someone knowing only existing system - if obviously foreign coherence is broken,new element → detection test → camouflage score
92,coherence,Least Surprise Principle,List 5 things that would surprise someone learning the system - each surprise is potential coherence violation,element review → surprise identification → justification or fix
93,coherence,DNA Inheritance Check,Identify system genes (naming/errors/logging/structure) and check if new element inherits or mutates them,genes → inheritance check → mutation list → justification
94,coherence,Transplant Rejection Test,Run new element through existing gates (linting/types/tests/CI) - failures indicate incompatibility,gates → compatibility test → rejection analysis
95,coherence,Structural Isomorphism,Measure structure (nesting/length/complexity/size) of new vs existing elements - delta above 30% needs justification,structure metrics → comparison → delta analysis → justification
96,coherence,Temporal Consistency,Check era markers (library versions/language features/API styles) for anachronisms - modern in legacy or vice versa,era markers → anachronism detection → justification
97,coherence,Boundary Violation Check,Map module boundaries and check if new element respects them - new reach patterns are potential violations,boundary map → reach analysis → violation detection
98,coherence,Compression Delta,Count NEW concepts someone must learn to understand new element given system knowledge - target 2 or fewer,existing concepts → new concepts → count → assessment
99,coherence,Multi-Artifact Coherence,Check reference integrity naming consistency interface compatibility and duplication drift across related artifacts,artifacts → reference check → naming check → interface check → duplication check
100,coherence,Vocabulary Consistency,Extract all key terms and identify synonyms (same concept different words) and homonyms (same word different concepts),terms → synonyms → homonyms → standardization
101,exploration,Quantum Superposition Hold,Maintain minimum 3 solutions in parallel with equal development - collapse only at the end with explicit justification,parallel solutions → independent development → delayed collapse
102,exploration,Cantor's Diagonal Escape,List N approaches then construct N+1 that differs from each in at least one aspect - by definition outside your considered set,list of approaches → construct different → evaluate outsider
103,exploration,Fourier Domain Shift,Reformulate problem in opposite domain: STRUCTURE→FLOW DATA→PROCESS NOW→EVOLUTION - hidden patterns become visible,current domain → opposite domain → reformulation → hidden patterns
104,exploration,Heisenberg Trade-off Forcing,Prove goals can be achieved simultaneously OR accept fundamental conflict and consciously choose sacrifice,goals → compatibility proof → trade-off → conscious choice
105,exploration,Epoché Pure Seeing,List 10 things you know about problem then for each ask how you know - remove unverified and proceed from minimal certainty,knowledge list → verification check → minimal certainty
106,exploration,Plato's Cave Inversion,Your solution is a SHADOW - what TRUE problem is it a shadow of? Does solution address shadow or source?,solution → shadow identification → true problem → alignment
107,exploration,Aristotle's Four Causes,Analyze through material (made of) formal (structure) efficient (created by) final (purpose) causes - gap in any indicates incomplete understanding,material → formal → efficient → final → gaps
108,exploration,Coincidentia Oppositorum,Find seemingly contradictory requirements and seek higher-level synthesis OR identify as definitionally impossible. Examples: PFS+recovery CAP triple consistency+availability+partition-tolerance recursion+guaranteed-termination,contradictions → definition check → synthesis or impossibility
109,exploration,Contraposition Inversion,Instead of what leads to success answer what guarantees failure then check if current solution does any of those. Known guarantees: async+consensus+failures=FLP violation; SP+IR+EFF+BB=M-S violation; universal termination proof=Halting violation,success goal → failure paths → theorem check → remove failures
110,exploration,Fixed Point Self-Reference,Apply validation method to ITSELF - if it cannot pass its own criteria why trust it for others?,method → self-application → self-verification
111,epistemology,Godel Witness,Define completeness criteria then attempt proof - identify exact breakdown point and classify as fundamental limit vs fixable gap,criteria → proof attempt → breakdown → classification
112,epistemology,Entropy Leak Detection,List all input elements and output elements then analyze delta - classify omissions as conscious vs silent with CUI BONO,input elements → output elements → delta → conscious vs silent
113,epistemology,Counterfactual Self-Incrimination,List 5 ways you could hide self-deception in THIS response then provide concrete evidence each is NOT being used,deception methods → evidence per method → flags
114,epistemology,Reversibility Test,Trace reasoning backwards from output to input - steps that cannot be reconstructed indicate gaps or shortcuts,output → backward trace → reconstruction check → gaps
115,epistemology,Negative Space Cartography,List 10 things you COULD have done but didn't - classify as irrelevant/conscious-skip/unconscious-skip and examine unconscious ones,potential actions → classification → unconscious analysis
116,epistemology,Strange Loop Detection,Build justification graph and detect cycles - each cycle needs external anchor or reasoning is ungrounded,claims → graph → cycles → external anchors
117,epistemology,Alternative Autopsy,Generate 3 genuinely different approaches and develop to EQUAL depth - if chosen wins on ALL criteria it's suspiciously convenient,current → alternatives → equal development → comparison
118,epistemology,Effort Forensics,Estimate effort and importance per section then check correlation - low correlation indicates misallocated effort,sections → effort → importance → correlation
119,epistemology,Ground Truth Demand,Classify all claims as self-verifiable/externally-verifiable/unverifiable - high unverifiable percentage indicates unfalsifiability hiding,claims → classification → verification methods
120,epistemology,Competence Boundary Mapping,List specific knowledge gaps and skill gaps plus where you guessed vs knew - no admitted limits equals competence theater,knowledge gaps → skill gaps → guess inventory → honest assessment
121,challenge,Barber Paradox,What alternative would you reject but if someone else proposed it you'd consider it better? Reconsider from outside perspective,alternatives → rejection reasons → outside perspective → reconsideration
122,challenge,Sorites Paradox,Remove elements one by one - which single removal destroys solution? That element deserves most attention,elements → removal test → critical element → attention check
123,challenge,Newcomb's Paradox,What solution would SURPRISE you? If current approach is not surprising it may miss creative solutions,expected approach → surprising alternatives → fair evaluation
124,challenge,Braess Paradox,Which element SEEMS helpful but might actually hurt? Sometimes removing constraints improves results,helpful elements → removal test → paradox check
125,challenge,Simpson's Paradox,Solution looks good in aggregate - does it look good in each subgroup? Hidden variables may distort aggregate,aggregate → subgroups → hidden variables → reanalysis
126,challenge,Surprise Exam Paradox,Where is solution TOO confident? What could surprise it? Overconfidence reveals blind spots,confidence areas → surprise scenarios → vulnerability check
127,challenge,Bootstrap Paradox,Does A require B require C require A? Circular dependencies must be identified and broken,dependencies → cycle detection → cycle breaking
128,challenge,Theseus Paradox,Does CORE of solution address CORE of problem or does it solve adjacent/surface problem?,solution core → problem core → alignment check
129,challenge,Stress Test Battery,Test at edges of ranges then beyond then with invalid then malicious inputs - document failures and harden,ranges → edges → beyond → invalid → malicious → hardening
130,challenge,Assumption Torture,For each key assumption test at 10% wrong then 50% wrong then completely wrong - which errors are survivable vs catastrophic?,assumptions → graduated error test → catastrophe identification
131,meta,Observer Paradox,Is analysis GENUINE or PERFORMANCE? Too smooth/complete/confident indicates performance - genuine analysis has rough edges,analysis → authenticity markers → assessment
132,meta,Goodhart's Law Check,Am I optimizing metric or actual goal? Could I score well on metric while failing goal?,metric → goal → divergence check → refocus
133,meta,Abilene Paradox Check,What if there IS NO better approach? Am I finding problems where none exist just to justify process?,problem existence check → necessity assessment
134,meta,Fredkin's Paradox,In rejected alternatives what valuable elements could be extracted and combined with current approach?,rejected ideas → value extraction → hybrid possibilities
135,meta,Tolerance Paradox Check,Is there something that should be categorically REJECTED not just evaluated? Identify hard limits,evaluation scope → hard limits → categorical rejection
136,meta,Kernel Paradox,Agent cannot objectively evaluate own work - what must USER independently verify?,self-evaluation limits → user verification list → handoff
137,meta,Godel's Incompleteness,What CANNOT this analysis check? What are fundamental limits? Acknowledge them explicitly,analysis scope → fundamental limits → acknowledged gaps
138,meta,Recursion Depth Check,How many meta levels deep? Analysis of analysis of analysis is often wasteful - set max depth and enforce,current depth → maximum depth → termination decision
139,meta,Paradox Resolution,State paradox clearly and attempt resolution through precise language - most dissolve with clear terms,paradox → analysis → resolution attempt → classification
140,meta,Dispute Resolution,Document original finding and counter-argument with evidence from both then present to user as final arbiter,original → counter → side-by-side → user decision
141,protocol,Method Selection,Identify primary need (VERIFY/GENERATE/UNDERSTAND/DECIDE) and constraints then use flowchart,need → constraints → flowchart → selection
142,protocol,Conflict Resolution,Classify conflict (SCOPE/PERSPECTIVE/CONTRADICTION/TIME) then apply appropriate resolution strategy,conflict → classification → resolution → documentation
143,protocol,Escalation,Recognize trigger (exceeds competence/high stakes) then document and hand off to appropriate target,trigger → documentation → target → handoff
144,protocol,Iteration,Complete pass then evaluate quality - measure distance d(n n+1) between versions. If d decreases continue. If d increases or oscillates change approach rather than iterate. Stop when d < ε or diminishing returns.,pass → evaluate → d(n n+1) → improve_or_pivot → repeat → stop when d < ε
145,protocol,Documentation,State decision list options document rationale note rejected alternatives identify review triggers,decision → options → rationale → rejected → triggers
146,protocol,Verification,List criteria then assess PASS/FAIL/PARTIAL for each - prioritize and fix critical gaps,criteria → assessment → gaps → remediation
147,protocol,Handoff,Summarize state list completed and remaining items identify blockers confirm recipient understands,state → completed → remaining → blockers → confirmation
148,protocol,Retrospective,What went well what could improve what will we do differently - assign owners and follow up,well → improve → actions → owners → review
149,protocol,Completion Checklist,Check: scope aligned? goal achieved? no TODOs? coherent? quality sufficient? claims verifiable? rationale documented?,scope → alignment → closure → coherence → quality → verification → documentation
150,protocol,Learning Extraction,After applying methods: which worked which didn't what would you do differently - builds method intuition,methods used → effectiveness → adaptations → lessons
151,epistemology,Semantic Entropy Validation,Generate multiple paraphrases of key claims then cluster by meaning - high variance across clusters indicates potential confabulation requiring evidence or uncertainty acknowledgment,claims → paraphrases → clusters → entropy → flags
152,core,Socratic Decomposition Pre-Analysis,Decompose problem into atomic sub-questions and answer each independently - apply 5 Whys only to areas where independent answers contradict each other,decompose → independent answers → consistency check → targeted 5 Whys → synthesis
153,theory,Theoretical Impossibility Check,Check claims against known impossibility theorems: FLP (async consensus) CAP (distributed) Halting/Rice/Gödel (computation) Myerson-Satterthwaite (mechanism) Arrow (voting) No-Free-Lunch (optimization). If claim violates theorem → CRITICAL finding,claims → theorem scan → violation detection → impossibility classification
154,theory,Definitional Contradiction Detector,Find requirements that are DEFINITIONALLY mutually exclusive - not just hard to achieve together but logically impossible by definition. Example: PFS (past unreadable) + recovery (past readable) = contradiction,requirements → definition expansion → exclusion check → definitional vs practical conflict
155,theory,Technical Term Verifier,Check if technical terms are used correctly per domain definition. Flags: homomorphic (operates on ciphertexts not keys) quantum advantage (no proven speedup for optimization) sound (gradual typing cannot be sound). Uses domain-knowledge-base.md,terms → domain lookup → usage check → correctness verdict
156,theory,Domain Expert Activation,Activate domain-specific reasoning for: crypto (PFS/ZK/quantum) distributed (CAP/FLP/BFT bounds) formal (halting/Rice/Gödel) mechanism (VCG/M-S/Arrow) quantum (speedup/QEC/qubits) PL (termination/inference/soundness). Loads expertise from domain-knowledge-base.md,domain detection → expertise load → specialized analysis → domain-grounded findings
157,conflict,Vocabulary Normalization,Identify synonyms (same concept different words) and homonyms (same word different concepts) in requirements. Build canonical vocabulary mapping. Hidden conflicts often use different terms for same incompatible concept,terms → synonyms → homonyms → canonical map → hidden conflict detection
158,conflict,Pairwise Compatibility Matrix,For N requirements construct N×N matrix. Cell(i j) = COMPATIBLE/CONFLICT/UNKNOWN by checking R[i].EXCLUDES against R[j].MEANS+IMPLIES. Systematic detection ensures no pair missed,requirements → triad expansion → matrix construction → conflict detection
159,depend,Transitive Dependency Closure,Build dependency graph then compute transitive closure via DFS. Path A→...→A = circular dependency. Node with in-degree>0 and no definition = missing dependency. Catches indirect dependency issues,graph → DFS → cycles → missing → transitive conflicts
160,conflict,Compatibility Proof Demand,For suspected compatible requirements DEMAND construction showing both satisfied simultaneously. Inability to construct = definitional conflict. Vague construction = needs investigation. Eliminates false negatives,pair → construction attempt → proof or conflict → classification
161,conflict,Definition Triad Expansion,For each requirement extract MEANS (literal) IMPLIES (logical consequence) EXCLUDES (incompatible). Conflicts hide in IMPLIES and EXCLUDES overlap between requirements,requirement → MEANS → IMPLIES → EXCLUDES → pairwise comparison
162,theory,Theory-Dependence Verification,Verify theoretical claims have proper backing. For each claim: identify theory relied upon → check if theory supports claim → verify no misapplication → demand proof or reference. Flags: soundness without proof / termination without checker proof / guarantees without theorems,claims → theory identification → support check → proof demand → classification
163,theory,Existence Proof Demand,For each major capability or property claimed demand existence proof: formal proof OR reference to existing system OR constructive example. Inability to provide any = unsubstantiated claim. Especially critical for novel feature combinations,claims → proof demand → proof/reference/example → substantiated or unsubstantiated
164,theory,Second-Order Effect Analysis,Analyze interactions between independent features. For each feature pair: define direct effects → identify interaction points → check if interaction is specified → test edge cases at boundaries. Hidden bugs live in unspecified interactions,features → pairwise combinations → interaction points → specification check → edge case generation
165,theory,Constructive Counterexample,Actively attempt to construct counterexamples that break claimed properties. For each claim: identify what would violate it → attempt construction → if construction succeeds claim is false. More rigorous than theoretical analysis alone,claim → violation definition → construction attempt → success = CRITICAL finding
166,risk,Higher-Order Composition Gap,For systems with higher-order abstractions (functions taking functions / rules taking rules): check if properties verified for base level are preserved at composition. Termination/type-safety/security often escape through higher-order holes,abstraction levels → property list → composition check → property preservation or escape
